2020-12-16T17:34:58.285073+0200 parsing page1 of 1... INFO
2020-12-16T17:34:59.323223+0200 we get 2 laptops INFO
%(asctime)s;%(levelname)s;%(message)s
%(asctime)s;%(levelname)s;%(message)s
2020-12-16T20:02:32.034618+0200 we get 1 laptops sony INFO
2020-12-16T20:06:16.809957+0200 parsing page 1 of 1... INFO
2020-12-16T20:06:17.847729+0200 we get 2 laptops apple INFO
2020-12-16T20:06:53.164570+0200 parsing page 1 of 1... INFO
2020-12-16T20:06:53.938833+0200 we get 2 laptops apple INFO
2020-12-16T20:06:54.800893+0200 parsing page 1 of 1... INFO
2020-12-16T20:06:55.553735+0200 we get 1 laptops sony INFO
2020-12-16T20:08:44.549540+0200 parsing page 1 of 1... INFO
2020-12-16T20:08:45.540222+0200 we get 2 laptops apple INFO
2020-12-16T20:08:52.375971+0200 parsing page 1 of 1... INFO
2020-12-16T20:08:53.627942+0200 we get 1 laptops sony INFO
2020-12-16T20:08:56.047437+0200 parsing page 1 of 2... INFO
2020-12-16T20:08:56.047716+0200 parsing page 2 of 2... INFO
2020-12-16T20:08:57.828824+0200 we get 60 laptops xiaomi INFO
2020-12-16T20:09:39.051782+0200 parsing page 1 of 1... INFO
2020-12-16T20:09:39.719140+0200 we get 2 laptops apple INFO
2020-12-16T20:09:40.632218+0200 parsing page 1 of 1... INFO
2020-12-16T20:09:41.426258+0200 we get 1 laptops sony INFO
2020-12-16T20:12:16.110962+0200 parsing page 1 of 1... INFO
2020-12-16T20:12:16.959331+0200 we get 2 laptops apple INFO
2020-12-16T20:12:20.131841+0200 parsing page 1 of 1... INFO
2020-12-16T20:12:20.908025+0200 we get 1 laptops sony INFO
2020-12-16T20:12:24.216146+0200 parsing page 1 of 2... INFO
2020-12-16T20:12:24.216373+0200 parsing page 2 of 2... INFO
2020-12-16T20:12:25.695043+0200 we get 60 laptops xiaomi INFO
2020-12-16T20:13:07.782809+0200 parsing page 1 of 1... INFO
2020-12-16T20:13:08.614068+0200 we get 2 laptops apple INFO
2020-12-16T20:13:11.594968+0200 parsing page 1 of 1... INFO
2020-12-16T20:13:12.218452+0200 we get 1 laptops sony INFO
2020-12-16T20:13:15.888474+0200 parsing page 1 of 1... INFO
2020-12-16T20:13:16.751311+0200 we get 1 laptops sony INFO
2020-12-16T20:13:25.363974+0200 parsing page 1 of 2... INFO
2020-12-16T20:13:25.364322+0200 parsing page 2 of 2... INFO
2020-12-16T20:13:26.779416+0200 we get 60 laptops xiaomi INFO
2020-12-16T20:13:40.547139+0200 parsing page 1 of 1... INFO
2020-12-16T20:13:41.857067+0200 we get 2 laptops apple INFO
2020-12-16T20:13:51.095616+0200 parsing page 1 of 7... INFO
2020-12-16T20:13:51.095905+0200 parsing page 2 of 7... INFO
2020-12-16T20:13:51.096025+0200 parsing page 3 of 7... INFO
2020-12-16T20:13:51.096121+0200 parsing page 4 of 7... INFO
2020-12-16T20:13:51.096204+0200 parsing page 5 of 7... INFO
2020-12-16T20:13:51.096275+0200 parsing page 6 of 7... INFO
2020-12-16T20:13:51.096343+0200 parsing page 7 of 7... INFO
2020-12-16T20:13:54.839551+0200 we get 420 laptops acer INFO
2020-12-16T20:14:35.597126+0200 parsing page 1 of 1... INFO
2020-12-16T20:14:36.653169+0200 we get 2 laptops apple INFO
2020-12-16T20:14:49.450357+0200 parsing page 1 of 1... INFO
2020-12-16T20:14:50.304208+0200 we get 1 laptops sony INFO
2020-12-16T20:14:59.107482+0200 parsing page 1 of 7... INFO
2020-12-16T20:14:59.108034+0200 parsing page 2 of 7... INFO
2020-12-16T20:14:59.108306+0200 parsing page 3 of 7... INFO
2020-12-16T20:14:59.108486+0200 parsing page 4 of 7... INFO
2020-12-16T20:14:59.108624+0200 parsing page 5 of 7... INFO
2020-12-16T20:14:59.109298+0200 parsing page 6 of 7... INFO
2020-12-16T20:14:59.109612+0200 parsing page 7 of 7... INFO
2020-12-16T20:15:03.901895+0200 we get 420 laptops acer INFO
2020-12-16T20:16:14.953199+0200 parsing page 1 of 9... INFO
2020-12-16T20:16:14.953525+0200 parsing page 2 of 9... INFO
2020-12-16T20:16:14.953638+0200 parsing page 3 of 9... INFO
2020-12-16T20:16:14.953723+0200 parsing page 4 of 9... INFO
2020-12-16T20:16:14.953802+0200 parsing page 5 of 9... INFO
2020-12-16T20:16:14.953874+0200 parsing page 6 of 9... INFO
2020-12-16T20:16:14.953943+0200 parsing page 7 of 9... INFO
2020-12-16T20:16:14.954009+0200 parsing page 8 of 9... INFO
2020-12-16T20:16:14.954080+0200 parsing page 9 of 9... INFO
2020-12-16T20:16:21.180341+0200 we get 531 laptops dell INFO
2020-12-16T20:17:00.997256+0200 parsing page 1 of 1... INFO
2020-12-16T20:17:01.937530+0200 we get 2 laptops apple INFO
2020-12-16T20:18:12.831397+0200 parsing page 1 of 1... INFO
2020-12-16T20:18:13.847614+0200 we get 2 laptops apple INFO
2020-12-16T20:24:17.758665+0200 parsing page 1 of 1... INFO
2020-12-16T20:24:18.594343+0200 we get 2 laptops apple INFO
2020-12-16T20:24:19.508174+0200 parsing page 1 of 1... INFO
2020-12-16T20:24:20.303632+0200 we get 1 laptops sony INFO
2020-12-16T20:25:40.527567+0200 parsing page 1 of 1... INFO
2020-12-16T20:25:41.154111+0200 we get 2 laptops apple INFO
2020-12-16T20:27:00.290907+0200 parsing page 1 of 9... INFO
2020-12-16T20:27:00.291187+0200 parsing page 2 of 9... INFO
2020-12-16T20:27:00.291303+0200 parsing page 3 of 9... INFO
2020-12-16T20:27:00.291424+0200 parsing page 4 of 9... INFO
2020-12-16T20:27:00.291591+0200 parsing page 5 of 9... INFO
2020-12-16T20:27:00.291711+0200 parsing page 6 of 9... INFO
2020-12-16T20:27:00.291790+0200 parsing page 7 of 9... INFO
2020-12-16T20:27:00.291860+0200 parsing page 8 of 9... INFO
2020-12-16T20:27:00.291926+0200 parsing page 9 of 9... INFO
2020-12-16T20:27:05.351262+0200 we get 531 laptops dell INFO
2020-12-16T20:28:28.024652+0200 parsing page 1 of 1... INFO
2020-12-16T20:28:53.112516+0200 parsing page 1 of 1... INFO
2020-12-16T20:29:18.254623+0200 parsing page 1 of 1... INFO
2020-12-16T20:30:11.168377+0200 parsing page 1 of 1... INFO
2020-12-16T20:30:11.947572+0200 we get 2 laptops apple INFO
2020-12-16T20:31:13.921256+0200 parsing page 1 of 1... INFO
2020-12-16T20:31:14.718367+0200 we get 2 laptops apple INFO
2020-12-16T20:32:52.779793+0200 parsing page 1 of 1... INFO
2020-12-16T20:32:53.658441+0200 we get 2 laptops apple INFO
2020-12-16T20:33:28.679116+0200 parsing page 1 of 1... INFO
2020-12-16T20:33:29.375937+0200 we get 2 laptops apple INFO
2020-12-16T20:33:37.113085+0200 parsing page 1 of 1... INFO
2020-12-16T20:33:37.687527+0200 we get 1 laptops sony INFO
2020-12-16T20:40:07.742551+0200 parsing page 1 of 1... INFO
2020-12-16T20:41:08.181533+0200 parsing page 1 of 1... INFO
2020-12-16T20:41:24.251981+0200 parsing page 1 of 1... INFO
2020-12-16T20:43:01.768063+0200 parsing page 1 of 1... INFO
2020-12-16T20:43:02.614410+0200 we get 2 laptops apple INFO
2020-12-16T20:43:45.238281+0200 parsing page 1 of 1... INFO
2020-12-16T20:43:45.956212+0200 we get 1 laptops sony INFO
2020-12-16T20:44:29.109506+0200 parsing page 1 of 1... INFO
2020-12-16T20:45:14.278968+0200 parsing page 1 of 1... INFO
2020-12-16T20:47:17.550800+0200 parsing page 1 of 1... INFO
2020-12-16T20:47:18.211004+0200 we get 1 laptops sony INFO
2020-12-16T20:47:47.918386+0200 parsing page 1 of 1... INFO
2020-12-16T20:47:48.857528+0200 we get 1 laptops sony INFO
2020-12-16T20:55:40.387363+0200 parsing page 1 of 1... INFO
2020-12-16T20:55:41.042971+0200 we get 1 laptops sony INFO
2020-12-16T20:56:31.517133+0200 parsing page 1 of 1... INFO
2020-12-17T19:40:05.273800+0200 parsing page 1 of 1... INFO
2020-12-17T20:18:30.054750+0200 parsing page 1 of 1... INFO
2020-12-17T20:18:30.884560+0200 we get 1 laptops sony INFO
2020-12-17T20:20:49.338571+0200 parsing page 1 of 1... INFO
2020-12-17T20:20:49.999045+0200 we get 1 laptops sony INFO
2020-12-17T20:22:50.181819+0200 parsing page 1 of 1... INFO
2020-12-17T20:22:50.858906+0200 we get 1 laptops sony INFO
2020-12-17T20:26:03.196530+0200 parsing page 1 of 1... INFO
2020-12-17T20:26:03.835643+0200 we get 1 laptops sony INFO
2020-12-17T20:26:47.841353+0200 parsing page 1 of 1... INFO
2020-12-17T20:26:48.740373+0200 we get 1 laptops sony INFO
2020-12-17T20:31:24.999847+0200 parsing page 1 of 1... INFO
2020-12-17T20:31:25.971260+0200 we get 1 laptops sony INFO
2020-12-17T20:31:41.878837+0200 parsing page 1 of 1... INFO
2020-12-17T20:31:42.461103+0200 we get 1 laptops sony INFO
2020-12-17T20:33:28.250922+0200 parsing page 1 of 1... INFO
2020-12-17T20:33:28.903924+0200 we get 1 laptops sony INFO
2020-12-17T20:35:36.796895+0200 parsing page 1 of 1... INFO
2020-12-17T20:35:38.058768+0200 we get 2 laptops apple INFO
2020-12-17T20:56:20.509313+0200 parsing page 1 of 1... INFO
2020-12-17T20:56:21.390820+0200 we get 2 laptops apple INFO
2020-12-17T20:56:28.408875+0200 parsing page 1 of 3... INFO
2020-12-17T20:56:28.409208+0200 parsing page 2 of 3... INFO
2020-12-17T20:56:28.409354+0200 parsing page 3 of 3... INFO
2020-12-17T20:56:30.192505+0200 we get 180 laptops microsoft INFO
2020-12-17T20:57:39.988582+0200 parsing page 1 of 1... INFO
2020-12-17T20:57:40.763479+0200 we get 1 laptops sony INFO
2020-12-17T21:06:46.154751+0200 parsing page 1 of 1... INFO
